,Log-Normal kappa=2
2006-01-04,0.0009808574741091887
2006-01-05,-0.0015055706556825316
2006-01-06,0.0039615525154680035
2006-01-09,-2.3377162469629293e-05
2006-01-10,0.00010364660043625057
2006-01-11,0.004179689654014251
2006-01-12,-0.006356424471406546
2006-01-13,0.0030876729875728365
2006-01-17,-0.004500848126821741
2006-01-18,-0.0017076887604222566
2006-01-19,0.003161023109813877
2006-01-20,-0.017216566208276645
2006-01-23,0.0019681170599821444
2006-01-24,-0.0025054386749483863
2006-01-25,-0.00031471760424203944
2006-01-26,0.004134941990459371
2006-01-27,0.009324105187233844
2006-01-30,0.0029985914833808164
2006-01-31,-0.0038270734399604204
2006-02-01,0.0001682243952984586
2006-02-02,-0.005105839043629288
2006-02-03,-0.005256592373816121
2006-02-06,6.431283854071167e-05
2006-02-07,-0.005936751812177135
2006-02-08,0.008474996667995005
2006-02-09,0.0005046530738007686
2006-02-10,-0.0007409354843331196
2006-02-13,-0.002227834536323457
2006-02-14,0.005435837044480775
2006-02-15,0.0033834739884734946
2006-02-16,0.002584102056228687
2006-02-17,-0.0002738996847509614
2006-02-21,-0.001809067871108498
2006-02-22,0.004823808715634021
2006-02-23,-0.0022909139254706193
2006-02-24,0.0015180143093191706
2006-02-27,0.0019065772679767044
2006-02-28,-0.007691156501497687
2006-03-01,0.003991455883680785
2006-03-02,-0.0026412347435619014
2006-03-03,0.001164212080647617
2006-03-06,-0.002104940300184609
2006-03-07,0.00414341279617078
2006-03-08,0.003679067006940033
2006-03-09,-0.0037900465166648806
2006-03-10,0.006564009299093848
2006-03-13,0.00022926861595860343
2006-03-14,0.0019400403982524747
2006-03-15,0.002681442495092761
2006-03-16,0.003734024014676812
2006-03-17,0.0008680496041852826
2006-03-20,0.0019628744027564357
2006-03-21,-0.002318877222056403
2006-03-22,0.002684731072042025
2006-03-23,-0.003643393696226227
2006-03-24,-0.00040022836463598886
2006-03-27,-0.002646532452426017
2006-03-28,-0.006668655741405714
2006-03-29,0.002186938319842545
2006-03-30,-0.0006361320430186141
2006-03-31,-0.0018726898203676654
2006-04-03,0.0017480546181630032
2006-04-04,0.004196658425316626
2006-04-05,0.0008138557509072156
2006-04-06,-0.0029165740903049934
2006-04-07,-0.008147835519895211
2006-04-10,0.0005885483663010047
2006-04-11,-0.0035397947912284263
2006-04-12,0.001141639717610655
2006-04-13,-0.0001334940534816285
2006-04-17,-0.002384607148381546
2006-04-18,0.009289898920266203
2006-04-19,0.0016843985001828504
2006-04-20,0.001004276641532809
2006-04-21,0.0026864149475574867
2006-04-24,-0.0008224914286481572
2006-04-25,-0.0012969875024505465
2006-04-26,0.0031223873672070433
2006-04-27,0.004634418550393666
2006-04-28,-0.0020830834447064512
2006-05-01,-0.0018330691217961113
2006-05-02,0.004485527563815801
2006-05-03,-0.006877601182901615
2006-05-04,0.0004494681894737167
2006-05-05,0.008724869370376866
2006-05-08,-0.0011067173301781905
2006-05-09,0.00011509398827857125
2006-05-10,6.607704687719462e-05
2006-05-11,-0.007522684970180495
2006-05-12,-0.008372518898108895
2006-05-15,0.0061172933082381965
2006-05-16,0.0016188883788227457
2006-05-17,-0.01346129092344527
2006-05-18,-0.003369126508773279
2006-05-19,-0.0004622482740402055
2006-05-22,0.0014630961324275365
2006-05-23,-0.0009937317403197756
2006-05-24,0.004006327185785932
2006-05-25,0.009503856718237879
2006-05-26,0.0027586220604901915
2006-05-30,-0.012916938332099616
2006-05-31,0.0021841113777243725
2006-06-01,0.005260003555575093
2006-06-02,0.0023897147378394543
2006-06-05,-0.011346812050757212
2006-06-06,0.0002104342395928594
