,Black-Litterman
2006-02-01,0.0006768087342727755
2006-03-01,0.0016227103905981435
2006-04-03,0.003130506280440905
2006-05-01,0.06786999999999999
2006-06-01,0.00181584390884236
2006-07-03,0.002920103398819998
2006-08-01,0.0011251591819321088
2006-09-01,0.002347245712624603
2006-10-02,0.00403300981173229
2006-11-01,0.001533011231011558
2006-12-01,0.06685725220758935
2007-01-03,0.0022388983032783777
2007-02-01,0.07041
2007-03-01,0.07324301996119043
2007-04-02,0.07291839503200102
2007-05-01,0.07333259263397739
2007-06-01,0.07278247678033659
2007-07-02,0.07317252285487187
2007-08-01,0.07396036003088804
2007-09-04,0.07233855596269331
2007-10-01,0.005631617891080458
2007-11-01,0.003032468646880497
2007-12-03,0.07729000000000001
2008-01-02,0.06947893596622778
2008-02-01,0.06944000000000003
2008-03-03,0.06668000000000006
2008-04-01,0.07051849898002076
2008-05-01,0.0014868599415170727
2008-06-02,0.14223999999999992
2008-07-01,0.004330827780896551
2008-08-01,0.13536
2008-09-02,0.06817573588591176
2008-10-01,0.08770385847479031
2008-11-03,0.13185713725096296
2008-12-01,0.0596999999999999
2009-01-02,0.1325765625370897
2009-02-02,0.1281199999999999
2009-03-02,0.05714620384387627
2009-04-01,0.0698009150969215
2009-05-01,0.06751602672353163
2009-06-01,0.06642945542893862
2009-07-01,0.06602055817670821
2009-08-03,0.07231445960660335
2009-09-01,0.07621070615302084
2009-10-01,0.0033096396340623613
2009-11-02,0.07725039578626432
2009-12-01,0.002851556820915681
2010-01-04,0.0023387778172012513
2010-02-01,0.07625920098419907
2010-03-01,0.07504286322225616
2010-04-01,0.08326495912974255
2010-05-03,0.0020047699870650026
2010-06-01,0.07965760813715804
2010-07-01,0.009953874899472415
2010-08-02,0.07952832918615274
2010-09-01,0.0023983751266026254
2010-10-01,0.0053465222921458555
2010-11-01,0.07025700107331245
2010-12-01,0.06877262234870028
2011-01-03,0.07757937937391221
2011-02-01,0.07545301606920829
2011-03-01,0.0015291964196297025
2011-04-01,0.07546269101333285
2011-05-02,0.07605625542515612
2011-06-01,0.07396123952176926
2011-07-01,0.002541000259989802
2011-08-01,0.06636056586517419
2011-09-01,0.07014999999999996
2011-10-03,0.004435176490079094
2011-11-01,0.07071987456673416
2011-12-01,0.0021041017850251045
2012-01-03,0.06497504106120305
2012-02-01,0.06290777601827502
2012-03-01,0.002979973489987582
2012-04-02,0.004161892172089385
2012-05-01,0.002046379816926465
2012-06-01,0.06632486263079608
2012-07-02,0.06844170600717125
2012-08-01,0.0010345698601741046
2012-09-04,0.06588144134473249
2012-10-01,0.0029852718183444385
2012-11-01,0.002495675613286355
2012-12-03,0.0019986348662673556
2013-01-02,0.0024772190430137203
2013-02-01,0.07059255153687627
2013-03-01,0.07033615943808835
2013-04-01,0.005773682770047056
2013-05-01,0.0011340852502216073
2013-06-03,0.0024602498538351114
2013-07-01,0.0045797072977582995
2013-08-01,0.07372774931853311
2013-09-03,0.0017480773231684371
2013-10-01,0.002035704524786318
2013-11-01,0.0024625065426817916
2013-12-02,0.0029242920480472903
2014-01-02,0.003315892113193969
2014-02-03,0.0030164190448641603
2014-03-03,0.0029144779510981156
2014-04-01,0.004851967308696532
2014-05-01,0.001000244088060591
2014-06-02,0.001798592041476886
2014-07-01,0.0037719292629820253
2014-08-01,0.0009988235538654217
2014-09-02,0.0024498729778629352
2014-10-01,0.004056630482660875
2014-11-03,0.0015072564621554548
2014-12-01,0.0018090794371787428
2015-01-02,0.0021547357237132712
2015-02-02,0.001447463546287945
2015-03-02,0.05954135788882105
2015-04-01,0.007132029159219382
2015-05-01,0.059431610271993264
2015-06-01,0.058229570176529924
2015-07-01,0.0654611497462203
2015-08-03,0.06129896517671874
2015-09-01,0.061759598317731264
2015-10-01,0.0031569245323998067
2015-11-02,0.0608351403048684
