,Min. Variance
2006-02-01,0.10897143917060384
2006-03-01,0.29174071037932836
2006-04-03,0.24036520126244554
2006-05-01,0.2369310908056591
2006-06-01,0.12314607634357475
2006-07-03,0.1144188641116716
2006-08-01,0.1579513360258991
2006-09-01,0.12595534629438881
2006-10-02,0.11598486742069522
2006-11-01,0.11864609726610492
2006-12-01,0.10353948361284714
2007-01-03,0.10211660668570041
2007-02-01,0.1295591017706641
2007-03-01,0.10195954559122095
2007-04-02,0.09695022628811065
2007-05-01,0.0764053895836965
2007-06-01,0.0761069964217562
2007-07-02,0.1411919446033754
2007-08-01,0.1981167502896421
2007-09-04,0.3025369981941381
2007-10-01,0.09954629900342303
2007-11-01,0.16601806461647328
2007-12-03,0.18484771978325779
2008-01-02,0.16904209094351663
2008-02-01,0.06411537973047583
2008-03-03,0.126552810697753
2008-04-01,0.09716768591995184
2008-05-01,0.08136549210250547
2008-06-02,0.1865998384098484
2008-07-01,0.043491657720917565
2008-08-01,0.13725197558995553
2008-09-02,0.03367968548169961
2008-10-01,0.028767532710233933
2008-11-03,0.18114859021181967
2008-12-01,0.20035224004016464
2009-01-02,0.19564543710820123
2009-02-02,0.21792680711043172
2009-03-02,0.16367649671624554
2009-04-01,0.16621226088973473
2009-05-01,0.06122433298137201
2009-06-01,0.119121967526243
2009-07-01,0.08734051104655517
2009-08-03,0.10328470333026141
2009-09-01,0.07021834880711648
2009-10-01,0.022387021631656387
2009-11-02,0.09933048446565854
2009-12-01,0.07831625849134455
2010-01-04,0.0662390387674143
2010-02-01,0.11357105110826557
2010-03-01,0.16868635334242227
2010-04-01,0.14667133811143174
2010-05-03,0.007343753034646197
2010-06-01,0.14467006156393258
2010-07-01,0.07575037521557888
2010-08-02,0.04563089293799372
2010-09-01,0.059756938693404524
2010-10-01,0.036630105107052696
2010-11-01,0.030725425129880586
2010-12-01,0.06368983151240026
2011-01-03,0.13159681895600556
2011-02-01,0.1833410483368011
2011-03-01,0.14011502821640026
2011-04-01,0.10909629712535018
2011-05-02,0.18985101757208267
2011-06-01,0.020743007539012467
2011-07-01,0.09325812407603665
2011-08-01,0.08015902363864563
2011-09-01,0.14182337687286725
2011-10-03,0.02234651456559352
2011-11-01,0.0875912863750429
2011-12-01,0.012283700818692898
2012-01-03,0.0901732411327691
2012-02-01,0.2348253486968841
2012-03-01,0.1296167269585239
2012-04-02,0.12698687388861746
2012-05-01,0.10956705112320639
2012-06-01,0.13374944582979253
2012-07-02,0.14940715199450436
2012-08-01,0.012227339442435935
2012-09-04,0.2517252401159063
2012-10-01,0.05371189797274128
2012-11-01,0.0036296342497546576
2012-12-03,0.005438466936247437
2013-01-02,0.06382692781699692
2013-02-01,0.049605181989764775
2013-03-01,0.23027611066731693
2013-04-01,0.03517030438152974
2013-05-01,0.0492686213715628
2013-06-03,0.19299563068026776
2013-07-01,0.18667258323243402
2013-08-01,0.1664334852500778
2013-09-03,0.1520298893968288
2013-10-01,0.09947244497094287
2013-11-01,0.1377596651580185
2013-12-02,0.10714887592514394
2014-01-02,0.1288184973603475
2014-02-03,0.1504655456911319
2014-03-03,0.19717639425166347
2014-04-01,0.04361187209842694
2014-05-01,0.062384511507246124
2014-06-02,0.008486661656465087
2014-07-01,0.034326339883292194
2014-08-01,0.10513679879111645
2014-09-02,0.023837554293160056
2014-10-01,0.004592034043069118
