,Jorion Hyperpar.
2006-01-04,-0.006380018424928337
2006-01-05,-0.0003961152254326944
2006-01-06,-0.0005919452955801169
2006-01-09,0.0026766387542874865
2006-01-10,-0.006410445735183171
2006-01-11,-0.00016062978020771446
2006-01-12,-0.007962619199225281
2006-01-13,0.003325179259973556
2006-01-17,-0.007781834244558784
2006-01-18,-2.677885709227462e-05
2006-01-19,-0.0017131906163975886
2006-01-20,-0.01775093073355952
2006-01-23,-0.003951060707166866
2006-01-24,0.005216478761191907
2006-01-25,0.008465111962239627
2006-01-26,0.005514949070165968
2006-01-27,0.004210277006625268
2006-01-30,-0.006844212624908185
2006-01-31,-0.0034882700235689982
2006-02-01,-0.001359016031319014
2006-02-02,-0.008147253004516679
2006-02-03,-0.005749670557817924
2006-02-06,0.005448088209901622
2006-02-07,-0.0024890138764209952
2006-02-08,0.0035598679021220055
2006-02-09,0.002353371760080891
2006-02-10,0.0009770619591334528
2006-02-13,-0.00415761678224021
2006-02-14,0.008494710194882083
2006-02-15,0.004439254701995438
2006-02-16,0.008303867278337968
2006-02-17,0.0012346040423723917
2006-02-21,-0.0018197795936898888
2006-02-22,0.01171814032336585
2006-02-23,0.0013969749439991343
2006-02-24,0.00583274113325208
2006-02-27,0.002268468672775793
2006-02-28,-0.00895938442225193
2006-03-01,0.005560962603305859
2006-03-02,-0.007958961526025163
2006-03-03,0.0015743102309785477
2006-03-06,-0.0017193967544555273
2006-03-07,0.009045525070654741
2006-03-08,0.007592911505183081
2006-03-09,0.00041979349974267683
2006-03-10,0.011063940261382807
2006-03-13,-0.0017245595741261525
2006-03-14,-0.014561987537856884
2006-03-15,-3.054008469837058e-05
2006-03-16,-0.0020266668045726965
2006-03-17,-0.0029406496009046234
2006-03-20,0.00021169182653499528
2006-03-21,-0.0033570391518364384
2006-03-22,0.007821842852277877
2006-03-23,-0.00978007130541496
2006-03-24,0.0017798287454181758
2006-03-27,-0.004663478000558777
2006-03-28,-0.013055615358470656
2006-03-29,0.0023714942883461218
2006-03-30,-0.003322043000237909
2006-03-31,-0.0011534974675072708
2006-04-03,0.004037468330544887
2006-04-04,0.007880523510884929
2006-04-05,-0.00021622473468118947
2006-04-06,-0.004834504252735569
2006-04-07,-0.0070531707354602536
2006-04-10,-0.0016159234509670608
2006-04-11,-0.00685913788237006
2006-04-12,0.0010694591399300914
2006-04-13,0.0016548522897507141
2006-04-17,-0.00747690460108568
2006-04-18,0.004190238234773226
2006-04-19,0.005662596173037013
2006-04-20,0.004073769153940261
2006-04-21,0.007438256711013082
2006-04-24,0.004236686168701057
2006-04-25,0.005696629971605479
2006-04-26,0.012674708123773679
2006-04-27,0.01714255251030199
2006-04-28,0.008054825795555859
2006-05-01,-0.010363169422778604
2006-05-02,0.005144185259882744
2006-05-03,-0.02263706076074543
2006-05-04,-0.00027713169567179135
2006-05-05,0.0023814762908854936
2006-05-08,0.004436927289068604
2006-05-09,0.002266598273503659
2006-05-10,-0.0015635722686740035
2006-05-11,-0.011152684064634228
2006-05-12,-0.011293657119320587
2006-05-15,0.008615218461443246
2006-05-16,0.0059524979762819435
2006-05-17,-0.01622750429516004
2006-05-18,-0.00818043679963015
2006-05-19,-0.007288022302733067
2006-05-22,0.0016867222893951236
2006-05-23,0.0020083058176501856
2006-05-24,0.005337515735752757
2006-05-25,0.008921040255641064
2006-05-26,0.001609970081142422
2006-05-30,-0.014015560265845724
2006-05-31,0.0002765667939315012
2006-06-01,0.004755138396864334
2006-06-02,0.00209858137040281
2006-06-05,-0.013755492782025583
2006-06-06,0.0015020258332647124
2006-06-07,0.00039100355364174856
2006-06-08,0.015658434247810035
2006-06-09,-0.0037127171686586313
2006-06-12,-0.005685697438937649
2006-06-13,-0.018280240259742887
2006-06-14,0.0020990594333848167
2006-06-15,0.012315797190426542
2006-06-16,-0.0035525948172935987
2006-06-19,-0.0055023970757041955
2006-06-20,0.004817335999274203
2006-06-21,0.0048448830779903454
2006-06-22,0.0010017800800300636
2006-06-23,-0.004060377805349072
2006-06-26,0.0042698884556941095
2006-06-27,-0.003558154072682552
2006-06-28,0.007977075759682898
2006-06-29,0.0202381404841098
2006-06-30,-0.015133916480625915
2006-07-03,0.011734400838265732
2006-07-05,-0.0013998348773805508
2006-07-06,0.006225946185679805
2006-07-07,-0.0037504287994389257
2006-07-10,0.007041056382810578
2006-07-11,0.0031661113834292633
2006-07-12,-0.010601360024772034
2006-07-13,-0.007329352607932802
2006-07-14,-0.0013218907817759136
2006-07-17,-0.0011539413108429847
2006-07-18,0.0013748295295700043
2006-07-19,0.02623582945062071
2006-07-20,-0.004655121978419073
2006-07-21,0.0012439068460944498
2006-07-24,0.01221652204838194
2006-07-25,-0.0015345405325120473
2006-07-26,-0.0004369265843984666
2006-07-27,-0.0009363167665586174
2006-07-28,0.010449996996490027
2006-07-31,-0.004683447001375726
2006-08-01,-0.0012621467984205957
2006-08-02,0.016666296054638874
2006-08-03,0.005300991361485307
2006-08-04,0.0042206185141647895
2006-08-07,-0.0022630155694425935
2006-08-08,-0.0031517853175524074
2006-08-09,-0.010948650235326474
2006-08-10,0.0024522864026825823
2006-08-11,0.0010486127426638592
2006-08-14,-0.005938353457144847
2006-08-15,0.009343433435464479
2006-08-16,-6.159356665944363e-05
2006-08-17,0.00041543821431328746
2006-08-18,0.0038490855536252554
2006-08-21,0.003924696018819266
2006-08-22,-0.0006031085804833038
2006-08-23,-0.0018552712709448852
2006-08-24,0.006166975474936489
2006-08-25,-0.006124192565035384
2006-08-28,0.0017558494825676767
