,Value-Weighted
2006-02-01,0.02657616996307316
2006-03-01,0.0017167919928059473
2006-04-03,0.029466067390843665
2006-05-01,0.027674672920988706
2006-06-01,0.0014315329981813268
2006-07-03,0.002986928186258465
2006-08-01,0.026536227607804802
2006-09-01,0.001672983950973114
2006-10-02,0.016054241344939567
2006-11-01,0.0016787460566415648
2006-12-01,0.027861046818870583
2007-01-03,0.028325094995824487
2007-02-01,0.0015844785178208906
2007-03-01,0.0015306117762039252
2007-04-02,0.004070967487792551
2007-05-01,0.0017753313439269596
2007-06-01,0.0020328852578139125
2007-07-02,0.03143681971175211
2007-08-01,0.001574942233211864
2007-09-04,0.03241338869516347
2007-10-01,0.03572809093447925
2007-11-01,0.03239439201346708
2007-12-03,0.03317137800190953
2008-01-02,0.03473134070892193
2008-02-01,0.031138521232352067
2008-03-03,0.031191099150262386
2008-04-01,0.004577105265584677
2008-05-01,0.03165752662028589
2008-06-02,0.030987175450680318
2008-07-01,0.032938455003601805
2008-08-01,0.031119740820712297
2008-09-02,0.0015329812955838379
2008-10-01,0.047967523578968926
2008-11-03,0.030403775214833537
2008-12-01,0.002236216095104668
2009-01-02,0.014168460774024201
2009-02-02,0.026778403565419776
2009-03-02,0.04937115417398469
2009-04-01,0.054528620952586544
2009-05-01,0.0018116108279523577
2009-06-01,0.06089428171658627
2009-07-01,0.039889401169814584
2009-08-03,0.031585397555528874
2009-09-01,0.04953188358106813
2009-10-01,0.036794177573084876
2009-11-02,0.031947675223906125
2009-12-01,0.03250794775400713
2010-01-04,0.07473328512521513
2010-02-01,0.0327088836345076
2010-03-01,0.0016565079401239143
2010-04-01,0.03979390164347406
2010-05-03,0.001881816564368706
2010-06-01,0.001718404806915711
2010-07-01,0.040491060510663264
2010-08-02,0.034620922561927725
2010-09-01,0.06835532349840362
2010-10-01,0.03684501548640366
2010-11-01,0.002002417521591332
2010-12-01,0.033612425218659654
2011-01-03,0.034717310337526154
2011-02-01,0.03310904455057121
2011-03-01,0.031977360137204605
2011-04-01,0.03250506330523085
2011-05-02,0.033293191797537855
2011-06-01,0.0015819227033404305
2011-07-01,0.002930228193902089
2011-08-01,0.030203807509867557
2011-09-01,0.029980835149637394
2011-10-03,0.03049298729698994
2011-11-01,0.029752288468184326
2011-12-01,0.0017211740418617942
2012-01-03,0.0026666712777052987
2012-02-01,0.029932998033944412
2012-03-01,0.0021078928301979053
2012-04-02,0.030853778788439288
2012-05-01,0.028905777129666726
2012-06-01,0.028694017091645978
2012-07-02,0.0033140058548682336
2012-08-01,0.0016688771754811062
2012-09-04,0.0014650736079595411
2012-10-01,0.02971726486035429
2012-11-01,0.027423789585759483
2012-12-03,0.05540244162882258
2013-01-02,0.06304186529785885
2013-02-01,0.03117635938437784
2013-03-01,0.03144061166175832
2013-04-01,0.0385459331421366
2013-05-01,0.0014559646887176009
