Stock,Stocks
MSFT,MSFT
AMZN,AMZN
AAPL,AAPL
GOOGL,GOOGL
JNJ,JNJ
JPM,JPM
XOM,XOM
V,V
WMT,WMT
BAC,BAC
UNH,UNH
VZ,VZ
PFE,PFE
PG,PG
WFC,WFC
INTC,INTC
CVX,CVX
KO,KO
MA,MA
HD,HD
