Stock,Stocks
XOM,XOM
AAPL,AAPL
MSFT,MSFT
WMT,WMT
GOOGL,GOOGL
CVX,CVX
IBM,IBM
JPM,JPM
PG,PG
WFC,WFC
ORCL,ORCL
JNJ,JNJ
PFE,PFE
KO,KO
BAC,BAC
C,C
GE,GE
T,T
SLB,SLB
CSCO,CSCO
