Stock,Stocks
AAPL,AAPL
GOOGL,GOOGL
MSFT,MSFT
AMZN,AMZN
XOM,XOM
JPM,JPM
JNJ,JNJ
WFC,WFC
BAC,BAC
PG,PG
CVX,CVX
WMT,WMT
VZ,VZ
T,T
V,V
PFE,PFE
CMCSA,CMCSA
KO,KO
DIS,DIS
INTC,INTC
