Stock,Stocks
AAPL,AAPL
GOOGL,GOOGL
MSFT,MSFT
AMZN,AMZN
JNJ,JNJ
XOM,XOM
JPM,JPM
WFC,WFC
BAC,BAC
WMT,WMT
PG,PG
V,V
ORCL,ORCL
CVX,CVX
VZ,VZ
KO,KO
CMCSA,CMCSA
PFE,PFE
C,C
UNH,UNH
