Stock,Stocks
XOM,XOM
MSFT,MSFT
WMT,WMT
PG,PG
JNJ,JNJ
CVX,CVX
GE,GE
IBM,IBM
BAC,BAC
JPM,JPM
AAPL,AAPL
T,T
CSCO,CSCO
INTC,INTC
KO,KO
SLB,SLB
PFE,PFE
ORCL,ORCL
PEP,PEP
WFC,WFC
