Stock,Stocks
AAPL,AAPL
XOM,XOM
MSFT,MSFT
IBM,IBM
CVX,CVX
WMT,WMT
GOOGL,GOOGL
WFC,WFC
JNJ,JNJ
PG,PG
KO,KO
JPM,JPM
PFE,PFE
T,T
INTC,INTC
ORCL,ORCL
GE,GE
VZ,VZ
MRK,MRK
QCOM,QCOM
