Stock,Stocks
MSFT,MSFT
AAPL,AAPL
GOOG,GOOG
GOOGL,GOOGL
AMZN,AMZN
TSLA,TSLA
NVDA,NVDA
JPM,JPM
V,V
JNJ,JNJ
UNH,UNH
WMT,WMT
BAC,BAC
HD,HD
PG,PG
MA,MA
DIS,DIS
ADBE,ADBE
NFLX,NFLX
CRM,CRM
