Stock,Stocks
AAPL,AAPL
XOM,XOM
GOOGL,GOOGL
MSFT,MSFT
JNJ,JNJ
WFC,WFC
CVX,CVX
WMT,WMT
JPM,JPM
PG,PG
VZ,VZ
ORCL,ORCL
KO,KO
PFE,PFE
IBM,IBM
BAC,BAC
MRK,MRK
GE,GE
AMZN,AMZN
SLB,SLB
