Stock,Stocks
AAPL,AAPL
MSFT,MSFT
AMZN,AMZN
GOOG,GOOG
GOOGL,GOOGL
V,V
JNJ,JNJ
WMT,WMT
PG,PG
MA,MA
JPM,JPM
UNH,UNH
HD,HD
NVDA,NVDA
VZ,VZ
PYPL,PYPL
NFLX,NFLX
BAC,BAC
ADBE,ADBE
DIS,DIS
