Stock,Stocks
XOM,XOM
MSFT,MSFT
C,C
BAC,BAC
GE,GE
PG,PG
WMT,WMT
JNJ,JNJ
T,T
JPM,JPM
PFE,PFE
CSCO,CSCO
AIG,AIG
CVX,CVX
IBM,IBM
WFC,WFC
INTC,INTC
KO,KO
PEP,PEP
VZ,VZ
