Stock,Stocks
AAPL,AAPL
XOM,XOM
MSFT,MSFT
IBM,IBM
CVX,CVX
GOOGL,GOOGL
WMT,WMT
PG,PG
JNJ,JNJ
WFC,WFC
KO,KO
JPM,JPM
PFE,PFE
ORCL,ORCL
T,T
INTC,INTC
GE,GE
MRK,MRK
VZ,VZ
CSCO,CSCO
