Stock,Stocks
AAPL,AAPL
GOOGL,GOOGL
AMZN,AMZN
MSFT,MSFT
JPM,JPM
JNJ,JNJ
BAC,BAC
XOM,XOM
WFC,WFC
V,V
WMT,WMT
INTC,INTC
UNH,UNH
CVX,CVX
CSCO,CSCO
HD,HD
BA,BA
ORCL,ORCL
PG,PG
PFE,PFE
