Stock,Stocks
XOM,XOM
MSFT,MSFT
WMT,WMT
JNJ,JNJ
PG,PG
JPM,JPM
CVX,CVX
IBM,IBM
AAPL,AAPL
KO,KO
WFC,WFC
BAC,BAC
T,T
ORCL,ORCL
CSCO,CSCO
PFE,PFE
INTC,INTC
PEP,PEP
GS,GS
VZ,VZ
