Stock,Stocks
XOM,XOM
WMT,WMT
JNJ,JNJ
MSFT,MSFT
PG,PG
CVX,CVX
IBM,IBM
T,T
KO,KO
PFE,PFE
JPM,JPM
CSCO,CSCO
ORCL,ORCL
WFC,WFC
AAPL,AAPL
VZ,VZ
PEP,PEP
INTC,INTC
GE,GE
MCD,MCD
