Stock,Stocks
AAPL,AAPL
MSFT,MSFT
AMZN,AMZN
GOOG,GOOG
GOOGL,GOOGL
TSLA,TSLA
JPM,JPM
V,V
JNJ,JNJ
NVDA,NVDA
WMT,WMT
UNH,UNH
BAC,BAC
MA,MA
HD,HD
PG,PG
DIS,DIS
PYPL,PYPL
CMCSA,CMCSA
XOM,XOM
