Stock,Stocks
AAPL,AAPL
AMZN,AMZN
GOOGL,GOOGL
MSFT,MSFT
JPM,JPM
XOM,XOM
JNJ,JNJ
BAC,BAC
V,V
WFC,WFC
INTC,INTC
WMT,WMT
CVX,CVX
UNH,UNH
HD,HD
BA,BA
CSCO,CSCO
MA,MA
PFE,PFE
VZ,VZ
