Stock,Stocks
XOM,XOM
MSFT,MSFT
WMT,WMT
CVX,CVX
PG,PG
JNJ,JNJ
GE,GE
AAPL,AAPL
IBM,IBM
T,T
CSCO,CSCO
SLB,SLB
INTC,INTC
KO,KO
JPM,JPM
PFE,PFE
ORCL,ORCL
COP,COP
BAC,BAC
PEP,PEP
