Stock,Stocks
XOM,XOM
MSFT,MSFT
GE,GE
C,C
BAC,BAC
PG,PG
CSCO,CSCO
CVX,CVX
T,T
JNJ,JNJ
WMT,WMT
PFE,PFE
IBM,IBM
JPM,JPM
INTC,INTC
AIG,AIG
KO,KO
AAPL,AAPL
WFC,WFC
SLB,SLB
