Stock,Stocks
XOM,XOM
MSFT,MSFT
C,C
GE,GE
BAC,BAC
WMT,WMT
PG,PG
JNJ,JNJ
PFE,PFE
AIG,AIG
INTC,INTC
JPM,JPM
CVX,CVX
IBM,IBM
CSCO,CSCO
WFC,WFC
PEP,PEP
KO,KO
AMGN,AMGN
HD,HD
