Stock,Stocks
MSFT,MSFT
AMZN,AMZN
AAPL,AAPL
GOOG,GOOG
GOOGL,GOOGL
JNJ,JNJ
JPM,JPM
V,V
XOM,XOM
WMT,WMT
PG,PG
BAC,BAC
MA,MA
DIS,DIS
VZ,VZ
UNH,UNH
CSCO,CSCO
PFE,PFE
CVX,CVX
KO,KO
