Stock,Stocks
AAPL,AAPL
XOM,XOM
MSFT,MSFT
IBM,IBM
WMT,WMT
CVX,CVX
PG,PG
JNJ,JNJ
GOOGL,GOOGL
KO,KO
ORCL,ORCL
T,T
PFE,PFE
WFC,WFC
JPM,JPM
INTC,INTC
VZ,VZ
AMZN,AMZN
PEP,PEP
GE,GE
