Stock,Stocks
AAPL,AAPL
GOOGL,GOOGL
MSFT,MSFT
AMZN,AMZN
JPM,JPM
JNJ,JNJ
XOM,XOM
BAC,BAC
V,V
WMT,WMT
WFC,WFC
INTC,INTC
CVX,CVX
UNH,UNH
PG,PG
HD,HD
CSCO,CSCO
PFE,PFE
VZ,VZ
BA,BA
