Stock,Stocks
AAPL,AAPL
XOM,XOM
GOOGL,GOOGL
MSFT,MSFT
JNJ,JNJ
WMT,WMT
CVX,CVX
WFC,WFC
PG,PG
JPM,JPM
IBM,IBM
PFE,PFE
KO,KO
BAC,BAC
C,C
ORCL,ORCL
GE,GE
PM,PM
T,T
VZ,VZ
