Stock,Stocks
AAPL,AAPL
MSFT,MSFT
GOOG,GOOG
GOOGL,GOOGL
AMZN,AMZN
TSLA,TSLA
V,V
NVDA,NVDA
JPM,JPM
JNJ,JNJ
