Stock,Stocks
AAPL,AAPL
GOOGL,GOOGL
MSFT,MSFT
XOM,XOM
WFC,WFC
JNJ,JNJ
AMZN,AMZN
JPM,JPM
WMT,WMT
PG,PG
PFE,PFE
VZ,VZ
KO,KO
V,V
DIS,DIS
BAC,BAC
ORCL,ORCL
C,C
GILD,GILD
CVX,CVX
