Stock,Stocks
AAPL,AAPL
XOM,XOM
GOOGL,GOOGL
WMT,WMT
MSFT,MSFT
CVX,CVX
IBM,IBM
JNJ,JNJ
PG,PG
WFC,WFC
JPM,JPM
PFE,PFE
KO,KO
ORCL,ORCL
T,T
GE,GE
VZ,VZ
C,C
MRK,MRK
BAC,BAC
