Stock,Stocks
XOM,XOM
AAPL,AAPL
MSFT,MSFT
CVX,CVX
IBM,IBM
WMT,WMT
JNJ,JNJ
PG,PG
GOOGL,GOOGL
KO,KO
ORCL,ORCL
JPM,JPM
PFE,PFE
WFC,WFC
T,T
INTC,INTC
SLB,SLB
GE,GE
VZ,VZ
PEP,PEP
