Stock,Stocks
XOM,XOM
MSFT,MSFT
AAPL,AAPL
WMT,WMT
PG,PG
JNJ,JNJ
GOOGL,GOOGL
JPM,JPM
BAC,BAC
WFC,WFC
IBM,IBM
CVX,CVX
CSCO,CSCO
PFE,PFE
ORCL,ORCL
KO,KO
INTC,INTC
C,C
GE,GE
T,T
