Stock,Stocks
MSFT,MSFT
AMZN,AMZN
AAPL,AAPL
GOOG,GOOG
GOOGL,GOOGL
JNJ,JNJ
XOM,XOM
V,V
JPM,JPM
WMT,WMT
BAC,BAC
PG,PG
VZ,VZ
MA,MA
INTC,INTC
CSCO,CSCO
CVX,CVX
UNH,UNH
PFE,PFE
BA,BA
