Stock,Stocks
AAPL,AAPL
GOOGL,GOOGL
MSFT,MSFT
XOM,XOM
AMZN,AMZN
JNJ,JNJ
WFC,WFC
VZ,VZ
PG,PG
WMT,WMT
JPM,JPM
PFE,PFE
T,T
CVX,CVX
KO,KO
V,V
ORCL,ORCL
GE,GE
HD,HD
DIS,DIS
