Stock,Stocks
XOM,XOM
AAPL,AAPL
MSFT,MSFT
CVX,CVX
IBM,IBM
WMT,WMT
ORCL,ORCL
JNJ,JNJ
PG,PG
JPM,JPM
GOOGL,GOOGL
PFE,PFE
KO,KO
WFC,WFC
T,T
C,C
GE,GE
BAC,BAC
INTC,INTC
SLB,SLB
