Stock,Stocks
AAPL,AAPL
XOM,XOM
MSFT,MSFT
IBM,IBM
WMT,WMT
CVX,CVX
GOOGL,GOOGL
JNJ,JNJ
PG,PG
WFC,WFC
KO,KO
PFE,PFE
ORCL,ORCL
JPM,JPM
INTC,INTC
T,T
GE,GE
MRK,MRK
VZ,VZ
CSCO,CSCO
